name,cases,Deaths,Recovered,Tests,Population
French Guiana,78025.00,394.00,11254.00,601360.00,311715.00
Malta,72560.00,613.00,70386.00,1211456.00,443525.00
French Polynesia,70158.00,643.00,N/A,,283644.00
Eswatini,69379.00,1392.00,67876.00,484434.00,1180404.00
Fiji,64067.00,834.00,62218.00,502044.00,907391.00
Madagascar,63791.00,1373.00,59002.00,401851.00,28889452.00
Guyana,63107.00,1224.00,61684.00,548943.00,792948.00
Sudan,61643.00,4865.00,N/A,562941.00,45573072.00
New Caledonia,59217.00,305.00,55768.00,98964.00,290123.00
Mauritania,58657.00,981.00,57648.00,757869.00,4855401.00
Belize,57003.00,652.00,55743.00,509412.00,409786.00
Barbados,56679.00,323.00,55093.00,595351.00,287968.00
Channel Islands,56090.00,146.00,52204.00,1220549.00,176563.00
Cabo Verde,55906.00,401.00,55438.00,400982.00,566162.00
Syria,55243.00,3107.00,48978.00,146269.00,18216422.00
Gabon,47564.00,303.00,47212.00,1580654.00,2314159.00
Papua New Guinea,41533.00,639.00,39905.00,249149.00,9232460.00
Seychelles,39605.00,163.00,39212.00,,99373.00
Curaçao,39133.00,264.00,38533.00,494095.00,165224.00
Andorra,38794.00,152.00,37925.00,249838.00,77473.00
Burundi,38238.00,38.00,773.00,345742.00,12486832.00
Togo,36848.00,272.00,36472.00,700440.00,8605415.00
Mayotte,36703.00,187.00,2964.00,176919.00,283897.00
Guinea,36427.00,440.00,33000.00,660107.00,13732438.00
Faeroe Islands,34237.00,28.00,7693.00,778000.00,49176.00
Mauritius,33856.00,934.00,30378.00,358675.00,1275325.00
Aruba,33732.00,212.00,33462.00,177885.00,107530.00
Tanzania,33726.00,800.00,N/A,,62598082.00
Bahamas,33188.00,771.00,32087.00,223187.00,399575.00
Lesotho,32716.00,697.00,23461.00,407836.00,2170865.00
Haiti,30433.00,827.00,26027.00,132422.00,11636720.00
Mali,30407.00,726.00,29561.00,630872.00,21232602.00
Benin,26575.00,163.00,25506.00,604310.00,12657756.00
Somalia,26400.00,1348.00,13182.00,400466.00,16639594.00
Isle of Man,24169.00,81.00,23079.00,150753.00,85791.00
Congo,24041.00,378.00,20178.00,347815.00,5746756.00
Saint Lucia,22822.00,364.00,22406.00,137485.00,185041.00
Timor-Leste,22784.00,129.00,22566.00,252353.00,1360737.00
Taiwan,21163.00,853.00,19084.00,11995178.00,23889423.00
Burkina Faso,20751.00,375.00,20309.00,248995.00,21868123.00
Cayman Islands,19373.00,17.00,8553.00,222773.00,67022.00
Nicaragua,18203.00,222.00,4225.00,,6757344.00
Tajikistan,17388.00,124.00,17263.00,,9898356.00
South Sudan,17044.00,138.00,13503.00,346289.00,11414836.00
Bhutan,16666.00,7.00,12695.00,2032568.00,785923.00
Equatorial Guinea,15894.00,183.00,15670.00,290997.00,1480550.00
Gibraltar,15792.00,101.00,15354.00,521091.00,33674.00
Djibouti,15564.00,189.00,15359.00,288558.00,1012204.00
San Marino,14523.00,112.00,14198.00,138257.00,34051.00
CAR,14320.00,113.00,6859.00,81294.00,4971206.00
Liechtenstein,13789.00,79.00,13103.00,80413.00,38312.00
Grenada,13690.00,216.00,13336.00,136411.00,113402.00
Gambia,11963.00,365.00,11583.00,153983.00,2530949.00
Bermuda,11850.00,124.00,11502.00,815667.00,61890.00
Greenland,11849.00,20.00,2761.00,164926.00,56936.00
Yemen,11783.00,2139.00,8827.00,265253.00,30932083.00
Dominica,11502.00,62.00,11127.00,173397.00,72287.00
